,0
0,1
1,5
2,10
3,6
4,10
5,25
6,17
7,24
8,17
9,25
10,28
11,28
12,43
13,31
14,32
15,42
16,44
17,41
18,36
19,45
20,59
21,66
22,54
23,64
24,73
25,70
26,71
27,81
28,75
29,98
30,72
31,80
32,89
33,94
34,98
35,100
36,96
37,103
38,86
39,93
40,83
41,79
42,97
43,81
44,96
45,99
46,74
47,97
48,88
49,65
50,78
51,77
52,80
53,111
54,69
55,81
56,107
57,115
58,98
59,82
60,103
61,92
62,113
63,100
64,92
65,68
66,74
67,100
68,87
69,105
70,101
71,98
72,93
73,68
74,90
75,87
76,110
77,99
78,88
79,69
80,87
81,95
82,98
83,70
84,75
85,94
86,64
87,82
88,76
89,90
90,89
91,91
92,77
93,105
94,101
95,110
96,58
97,107
98,115
99,82
100,90
101,118
102,82
103,84
104,69
105,85
106,76
107,63
108,65
109,76
110,121
111,89
112,79
113,68
114,92
115,86
116,90
117,86
118,87
119,89
120,86
121,86
122,119
123,68
124,105
125,102
126,75
127,84
128,74
129,88
130,79
131,66
132,88
133,96
134,103
135,90
136,89
137,89
138,59
139,75
140,90
141,83
142,89
143,83
144,82
145,74
146,93
147,101
148,89
149,101
150,77
151,93
152,82
153,86
154,83
155,87
156,83
157,83
158,87
159,69
160,107
161,94
162,84
163,83
164,94
165,97
166,84
167,86
168,93
169,90
170,66
171,96
172,90
173,127
174,86
175,81
176,96
177,88
178,87
179,75
180,84
181,64
182,94
183,85
184,79
185,92
186,65
187,94
188,106
189,94
190,81
191,109
192,97
193,102
194,89
195,72
196,68
197,100
198,84
199,77
200,89
201,88
202,98
203,95
204,86
205,90
206,84
207,100
208,100
209,83
210,87
211,101
212,74
213,107
214,73
215,75
216,107
217,86
218,82
219,85
220,102
221,57
222,78
223,71
224,88
225,91
226,91
227,107
228,72
229,66
230,86
231,114
232,88
233,83
234,93
235,111
236,74
237,81
238,79
239,91
240,85
241,106
242,89
243,111
244,95
245,107
246,92
247,97
248,80
249,99
250,81
251,90
252,109
253,85
254,103
255,87
256,87
257,104
258,110
259,95
260,68
261,86
262,103
263,88
264,62
265,97
266,81
267,93
268,95
269,120
270,90
271,94
272,118
273,70
274,79
275,79
276,113
277,78
278,107
279,96
280,93
281,104
282,92
283,86
284,76
285,80
286,89
287,105
288,103
289,90
290,112
291,100
292,95
293,87
294,76
295,87
296,103
297,105
298,92
299,79
300,90
301,74
302,64
303,76
304,97
305,80
306,91
307,97
308,97
309,90
310,77
311,86
312,98
313,82
314,91
315,84
316,102
317,94
318,82
319,84
320,106
321,84
322,87
323,91
324,101
325,59
326,100
327,102
328,84
329,89
330,66
331,81
332,103
333,79
334,64
335,102
336,74
337,96
338,111
339,91
340,82
341,96
342,98
343,65
344,72
345,89
346,87
347,94
348,110
349,88
350,107
351,93
352,104
353,67
354,80
355,90
356,95
357,111
